word,TB05
"Structural",1
"Phase",1
"Transition",1
"Triggered",1
"by",1
"Na",3
"Ordering",1
"in",2
"Na196CdFeCN6099",2
"Prussian",1
"blue",1
"analogues",1
"PBAs",2
"are",1
"nanoporous",1
"materials",1
"that",2
"consist",1
"of",2
"a",10
"cyanobridged",1
"threedimensional",1
"3D",1
"metal",2
"framework",2
"ie",1
"MNCFeCNM",1
"M",1
"Cr",1
"Mn",1
"Fe",1
"Co",1
"Ni",1
"Cu",1
"and",3
"Cd",2
"guest",1
"alkali",1
"H2O",1
"Among",1
"the",7
"various",1
"compound",1
"has",1
"large",1
"with",2
"side",1
"54",1
"We",1
"found",1
"shows",1
"phase",3
"transition",2
"from",1
"cubic",2
"Z",2
"4",1
"to",2
"monoclinic",2
"I12m1",1
"2",1
"structure",1
"at",3
"400",1
"K",1
"decrease",1
"temperature",1
"During",1
"is",1
"located",1
"octahedral",2
"48g",1
"site",2
"Based",1
"on",1
"structural",1
"analysis",1
"we",1
"ascribed",1
"into",1
"ordering",1
"stable",1
"among",1
"sites",1
"Fm3m",1
